Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,Num_of_Baskets,weather,Period,Week_Day,Is_Holiday,City
indian,male,fat,,no,no_kids,big,,,black,,blue_jeans,long,,4,10,no,60,3,19,2,Dense fog,Noon,Tuesday,no,Putrajaya
indian,male,thin,42,,no_kids,big,blue,,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34,3,12,,Dense fog,Noon,Tuesday,no,Putrajaya
malay,female,fat,32,no,no_kids,big,purple,,,,black,long,clothes,3,7,no,58,0,10,2,Dense fog,Noon,Tuesday,no,Putrajaya
chinese,male,thin,40,yes,toddler,big,red,casual,,short_sleeve,white,short,clothes,5,9,yes,54,2,18,2,Dense fog,Noon,Tuesday,no,Sepang
foreigner,male,moderate,39,no,no_kids,big,blue,casual,black,short_sleeve,,long,,3,8,no,43,5,17,,Dense fog,Noon,Tuesday,no,Putrajaya
,female,fat,55,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58,2,11,2,Dense fog,Evening,Tuesday,no,Putrajaya
chinese,male,thin,46,no,no_kids,big,red,,purple,short_sleeve,black,,clothes,4,7,no,56,1,15,2,Dense fog,Evening,Tuesday,no,Sepang
malay,female,thin,46,no,no_kids,small,white,casual,white,,grey,,,6,10,no,16,1,20,1,Dense fog,Evening,Tuesday,no,Sepang
malay,male,fat,35,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes,41,1,17,2,Dense fog,Evening,Tuesday,no,Sepang
chinese,female,thin,35,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31,3,9,2,Dense fog,Evening,Tuesday,no,Putrajaya
malay,female,,41,no,,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38,5,9,3,Dense fog,Evening,Tuesday,no,Putrajaya
malay,female,fat,31,,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51,4,18,2,Dense fog,Evening,Tuesday,no,Sepang
malay,female,fat,34,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,,23,1,18,3,Dense fog,Evening,Tuesday,no,Sepang
malay,female,fat,36,no,no_kids,big,blue,casual,grey,long sleeve,black,long,,4,8,no,37,5,12,1,Dense fog,Night,Tuesday,no,Putrajaya
malay,,,33,no,,big,,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15,0,14,1,Dense fog,Night,Tuesday,no,Sepang
malay,,fat,51,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60,2,18,2,Dense fog,Night,Tuesday,no,Sepang
foreigner,female,moderate,46,no,no_kids,,,formal,grey,long sleeve,black,long,blankets,3,7,no,53,2,11,1,Dense fog,Night,Tuesday,no,Putrajaya
,female,moderate,51,no,no_kids,big,,casual,red,long sleeve,red,long,clothes,6,8,no,35,5,21,2,Dense fog,Night,Tuesday,no,Sepang
indian,male,fat,,no,no_kids,big,,casual,red,short_sleeve,black,short,clothes,5,7,no,50,5,14,1,Dense fog,Night,Tuesday,no,Putrajaya
malay,,fat,28,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39,2,11,1,Dense fog,Night,Tuesday,no,Putrajaya
indian,male,moderate,49,no,no_kids,big,red,casual,,short_sleeve,,short,clothes,4,8,no,31,3,14,3,Dense fog,Night,Tuesday,no,Sepang
indian,male,fat,48,no,no_kids,big,red,,black,short_sleeve,blue,short,clothes,5,10,,32,5,11,2,Dense fog,Night,Tuesday,no,Sepang
,female,fat,,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24,1,16,2,Dense fog,Night,Tuesday,no,Putrajaya
indian,female,fat,42,no,no_kids,,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55,4,15,3,Dense fog,Night,Tuesday,no,Sepang
foreigner,male,moderate,54,no,no_kids,big,white,casual,white,,black,long,clothes,3,9,no,20,4,16,3,Dense fog,Night,Tuesday,no,Sepang
foreigner,male,,38,no,,big,,casual,,short_sleeve,black,long,clothes,3,8,no,40,5,14,1,Dense fog,Night,Tuesday,no,Sepang
chinese,female,thin,39,,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15,2,13,3,Dense fog,Night,Tuesday,no,Putrajaya
malay,,thin,53,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43,4,16,3,Dense fog,Night,Tuesday,no,Sepang
malay,male,thin,29,yes,toddler,big,black,,white,short_sleeve,blue_jeans,long,clothes,3,10,,31,0,18,1,Dense fog,Night,Tuesday,no,Putrajaya
indian,male,fat,43,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36,0,11,3,Dense fog,Night,Tuesday,no,Sepang
indian,female,fat,29,yes,young,small,white,,brown,short_sleeve,blue,long,clothes,5,8,no,56,4,21,1,Dense fog,Night,Tuesday,no,Putrajaya
malay,female,thin,50,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44,0,14,1,Dense fog,Night,Tuesday,no,Sepang
malay,,thin,51,no,no_kids,small,black,casual,black,short_sleeve,grey,long,,3,9,no,33,5,15,2,Dense fog,Night,Tuesday,no,Sepang
malay,male,thin,28,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60,3,16,,Dense fog,Night,Tuesday,no,Putrajaya
indian,female,moderate,55,,baby,,white,,blue,short_sleeve,brown,short,clothes,3,9,no,60,5,14,1,Dense fog,Night,Tuesday,no,Sepang
indian,male,thin,33,no,no_kids,small,,casual,white,short_sleeve,black,long,,5,10,no,27,0,8,3,Dense fog,Night,Tuesday,no,Sepang
indian,male,moderate,49,,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38,3,21,2,Dense fog,Night,Tuesday,no,Putrajaya
malay,male,thin,42,no,no_kids,,red,casual,brown,long sleeve,,long,blankets,4,8,,24,3,19,2,Dense fog,Night,Tuesday,no,Sepang
malay,female,moderate,45,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26,2,16,2,Dense fog,Late Night,Tuesday,no,Sepang
indian,,thin,30,no,no_kids,,white,casual,black,short_sleeve,white,short,clothes,6,7,no,13,2,13,,Dense fog,Late Night,Wednesday,no,Sepang
indian,,fat,44,no,no_kids,small,blue,casual,blue,,white,short,clothes,4,8,no,17,3,10,1,Dense fog,Early Morning,Wednesday,no,Sepang
chinese,,moderate,54,no,no_kids,big,,,blue,short_sleeve,,long,clothes,3,7,no,53,0,14,3,Dense fog,Early Morning,Wednesday,no,Putrajaya
chinese,,thin,43,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11,3,18,2,Dense fog,Morning,Wednesday,no,Sepang
malay,male,thin,32,no,,,,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12,3,9,,Dense fog,Morning,Wednesday,no,Putrajaya
malay,,,29,no,,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,41,5,16,1,Dense fog,Morning,Wednesday,no,Sepang
chinese,male,thin,40,no,,small,white,casual,red,short_sleeve,,long,clothes,3,9,yes,49,0,21,3,Dense fog,Noon,Wednesday,no,Sepang
chinese,,thin,31,no,,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,25,1,10,3,Dense fog,Noon,Wednesday,no,Sepang
malay,female,thin,31,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27,1,7,2,Dense fog,Noon,Wednesday,no,Putrajaya
chinese,male,thin,54,no,no_kids,small,white,casual,red,short_sleeve,black,long,,3,8,no,15,0,11,2,Dense fog,Noon,Wednesday,no,Sepang
malay,female,thin,,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60,2,21,1,Dense fog,Noon,Wednesday,no,Putrajaya
malay,male,moderate,,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54,4,21,2,Dense fog,Noon,Wednesday,no,Sepang
chinese,female,fat,45,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50,5,7,2,Dense fog,Noon,Wednesday,no,Putrajaya
malay,,,38,yes,toddler,big,white,casual,grey,,black,long,clothes,3,7,no,12,1,7,1,Dense fog,Noon,Wednesday,no,Sepang
malay,female,moderate,48,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35,1,13,1,Dense fog,Noon,Wednesday,no,Putrajaya
chinese,female,thin,,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45,1,19,1,Dense fog,Noon,Wednesday,no,Putrajaya
malay,female,,42,yes,toddler,big,blue,,purple,long sleeve,purple,long,blankets,4,8,,48,0,12,1,Dense fog,Noon,Wednesday,no,Sepang
,,moderate,53,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,,14,2,12,2,Dense fog,Evening,Wednesday,no,Putrajaya
malay,female,fat,40,no,no_kids,big,,,brown,long sleeve,brown,long,clothes,6,8,no,15,0,17,1,Dense fog,Evening,Wednesday,no,Sepang
malay,female,moderate,53,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,,4,7,yes,26,5,16,2,Dense fog,Evening,Wednesday,no,Sepang
indian,male,fat,49,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48,0,7,,Dense fog,Evening,Wednesday,no,Sepang
malay,male,thin,52,,no_kids,big,black,traditional,,long sleeve,brown,long,clothes,6,10,no,55,1,13,,Dense fog,Night,Wednesday,no,Sepang
malay,male,thin,32,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,,43,4,18,1,Dense fog,Night,Wednesday,no,Putrajaya
chinese,male,moderate,34,,no_kids,big,blue,casual,,short_sleeve,red,short,clothes,5,9,yes,50,3,13,1,Dense fog,Night,Wednesday,no,Sepang
indian,male,thin,35,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46,5,14,2,Dense fog,Night,Wednesday,no,Sepang
malay,female,moderate,49,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46,3,14,1,Dense fog,Early Morning,Thursday,no,Sepang
malay,female,fat,33,,no_kids,big,white,,blue,long sleeve,black,long,clothes,5,7,no,55,2,21,3,Dense fog,Morning,Thursday,no,Putrajaya
malay,female,,55,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58,1,9,3,Dense fog,Morning,Thursday,no,Sepang
chinese,female,,,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36,0,14,,Dense fog,Morning,Thursday,no,Sepang
malay,male,moderate,55,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37,5,21,3,Dense fog,Morning,Thursday,no,Sepang
malay,female,thin,49,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,55,3,19,,Dense fog,Morning,Thursday,no,Sepang
malay,male,thin,46,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21,1,15,1,Dense fog,Morning,Thursday,no,Sepang
foreigner,female,moderate,41,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,56,2,16,,Broken clouds,Noon,Thursday,no,Putrajaya
,female,fat,,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,,36,3,17,3,Broken clouds,Noon,Thursday,no,Sepang
malay,male,fat,41,no,no_kids,big,,casual,green,short_sleeve,black,long,clothes,3,10,no,29,5,15,1,Broken clouds,Noon,Thursday,no,Sepang
,male,moderate,55,no,no_kids,small,,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,37,3,10,3,Broken clouds,Noon,Thursday,no,Sepang
malay,female,moderate,34,no,no_kids,small,,casual,red,,purple,long,clothes,4,7,no,20,2,15,3,Broken clouds,Noon,Thursday,no,Putrajaya
malay,female,fat,40,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30,0,7,2,Broken clouds,Noon,Thursday,no,Sepang
indian,male,fat,44,no,no_kids,,white,casual,,short_sleeve,grey,short,clothes,5,7,,25,2,14,1,Broken clouds,Evening,Thursday,no,Putrajaya
chinese,male,thin,50,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19,0,13,2,Broken clouds,Evening,Thursday,no,Putrajaya
foreigner,male,moderate,54,no,no_kids,big,blue,casual,black,,black,long,clothes,3,7,no,23,4,16,1,Partly cloudy,Night,Thursday,no,Sepang
chinese,male,thin,,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,46,4,9,3,Partly cloudy,Night,Thursday,no,Sepang
,male,moderate,32,no,no_kids,big,,,green,,brown,short,clothes,3,9,no,50,3,9,3,Partly cloudy,Night,Thursday,no,Putrajaya
,female,thin,32,no,no_kids,big,blue,casual,,short_sleeve,brown,short,clothes,3,9,no,59,4,7,1,Partly cloudy,Night,Thursday,no,Putrajaya
indian,male,fat,47,no,no_kids,big,,casual,blue,short_sleeve,black,short,clothes,6,7,no,15,2,17,1,Passing clouds,Night,Thursday,no,Sepang
chinese,female,fat,30,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22,5,20,2,Partly cloudy,Late Night,Friday,no,Putrajaya
chinese,male,fat,,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,,3,8,yes,50,5,,3,Partly cloudy,Late Night,Friday,no,Sepang
indian,female,fat,39,no,no_kids,big,white,casual,grey,short_sleeve,black,long,,3,10,no,60,0,8,1,Partly cloudy,Late Night,Friday,no,Sepang
malay,male,fat,40,no,no_kids,big,black,casual,blue,,grey,long,clothes,5,7,no,22,3,,3,Partly cloudy,Late Night,Friday,no,Sepang
indian,male,moderate,,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,52,1,18,3,Partly cloudy,Early Morning,Friday,no,Sepang
,female,fat,52,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,15,0,19,3,Partly cloudy,Early Morning,Friday,no,Sepang
malay,male,fat,33,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,29,3,,3,Partly cloudy,Early Morning,Friday,no,Sepang
chinese,male,thin,,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,44,2,15,1,Haze,Morning,Friday,no,Sepang
,male,fat,53,yes,baby,big,grey,casual,red,short_sleeve,,long,clothes,3,9,no,58,4,13,3,Dense fog,Morning,Friday,no,Sepang
malay,female,moderate,53,yes,toddler,big,,formal,pink,,black,long,clothes,4,7,no,23,3,7,2,Dense fog,Morning,Friday,no,Putrajaya
indian,male,,40,no,no_kids,small,green,formal,white,short_sleeve,black,,clothes,3,9,no,58,0,21,1,Dense fog,Morning,Friday,no,Sepang
malay,male,moderate,40,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,53,1,8,3,Dense fog,Morning,Friday,no,Putrajaya
malay,,fat,52,no,no_kids,big,blue,,black,long sleeve,black,long,clothes,6,10,no,48,1,13,3,Dense fog,Noon,Friday,no,Putrajaya
indian,male,fat,44,no,no_kids,big,white,casual,black,short_sleeve,grey,long,,4,10,no,19,5,,,Dense fog,Noon,Friday,no,Putrajaya
malay,male,fat,,,no_kids,,black,casual,black,short_sleeve,black,long,clothes,3,8,no,40,1,12,1,Dense fog,Noon,Friday,no,Putrajaya
,male,thin,44,no,no_kids,big,,,black,short_sleeve,red,short,,4,8,yes,34,2,18,2,Dense fog,Noon,Friday,no,Putrajaya
malay,female,thin,52,no,no_kids,big,blue,casual,,,blue,short,,5,8,,23,4,16,2,Dense fog,Noon,Friday,no,Sepang
malay,female,fat,39,no,no_kids,big,,casual,black,short_sleeve,black,long,clothes,6,8,no,13,3,14,1,Dense fog,Noon,Friday,no,Putrajaya
malay,female,thin,31,no,no_kids,big,white,casual,red,short_sleeve,,long,,3,7,no,29,4,14,1,Dense fog,Noon,Friday,no,Putrajaya
,male,thin,31,no,no_kids,big,white,formal,grey,,grey,long,clothes,6,9,no,54,4,,1,Dense fog,Evening,Friday,no,Sepang
,female,fat,40,no,no_kids,big,grey,casual,grey,long sleeve,,,clothes,4,9,no,36,2,14,2,Dense fog,Evening,Friday,no,Putrajaya
malay,female,thin,28,yes,baby,big,white,casual,blue,,black,long,blankets,4,9,,16,5,21,1,Dense fog,Evening,Friday,no,Sepang
malay,female,moderate,41,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,11,1,9,2,Dense fog,Evening,Friday,no,Sepang
malay,female,moderate,41,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,28,3,14,2,Dense fog,Evening,Friday,no,Sepang
malay,,fat,49,no,no_kids,big,blue,,,short_sleeve,white,long,clothes,5,9,no,41,0,20,1,Dense fog,Evening,Friday,no,Sepang
chinese,female,thin,30,no,no_kids,,white,casual,green,short_sleeve,,long,clothes,6,7,no,25,5,15,2,Thunderstorms,Evening,Friday,no,Putrajaya
chinese,male,moderate,48,no,no_kids,,blue,,white,short_sleeve,black,,clothes,3,9,no,19,4,13,1,Thunderstorms,Evening,Friday,no,Sepang
chinese,,moderate,34,,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,15,0,11,2,Dense fog,Night,Friday,no,Sepang
foreigner,male,thin,,no,no_kids,big,brown,casual,red,,grey,long,,6,9,no,36,4,12,2,Dense fog,Night,Friday,no,Putrajaya
foreigner,female,thin,39,,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,11,1,20,2,Dense fog,Night,Friday,no,Sepang
malay,female,moderate,,yes,toddler,big,red,casual,blue,long sleeve,black,long,,4,7,no,54,3,18,2,Dense fog,Night,Friday,no,Sepang
indian,female,fat,40,yes,young,big,red,casual,purple,short_sleeve,,,clothes,4,10,no,53,1,18,3,Dense fog,Night,Friday,no,Sepang
chinese,,thin,42,,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,19,1,17,3,Dense fog,Night,Friday,no,Putrajaya
,,fat,,no,no_kids,big,,casual,blue,short_sleeve,black,long,clothes,3,7,no,43,5,14,1,Dense fog,Night,Friday,no,Sepang
chinese,male,fat,36,no,no_kids,big,,casual,,short_sleeve,,short,clothes,3,9,yes,58,3,19,1,Dense fog,Late Night,Saturday,no,Putrajaya
malay,,thin,28,yes,baby,big,,casual,red,short_sleeve,grey,long,clothes,3,9,no,17,3,21,3,Dense fog,Late Night,Saturday,no,Sepang
,male,fat,53,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,26,2,8,3,Dense fog,Late Night,Saturday,no,Putrajaya
malay,male,thin,42,,no_kids,big,,casual,yellow,,black,long,clothes,4,7,yes,22,5,8,2,Dense fog,Early Morning,Saturday,no,Putrajaya
chinese,female,,39,no,no_kids,big,red,casual,,short_sleeve,black,long,clothes,6,9,no,28,4,15,2,Dense fog,Early Morning,Saturday,no,Sepang
,male,fat,40,no,no_kids,big,,casual,white,long sleeve,brown,,clothes,4,10,,51,4,14,1,Dense fog,Morning,Saturday,no,Putrajaya
indian,female,thin,41,no,no_kids,big,green,casual,,short_sleeve,grey,long,,6,9,no,48,0,11,3,Dense fog,Morning,Saturday,no,Sepang
malay,female,,50,no,no_kids,,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,36,0,13,2,Dense fog,Morning,Saturday,no,Sepang
malay,female,,48,no,no_kids,big,,casual,red,long sleeve,,long,clothes,6,9,no,57,3,10,3,Dense fog,Morning,Saturday,no,Sepang
,female,thin,42,,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,,19,3,20,2,Dense fog,Morning,Saturday,no,Putrajaya
malay,male,,51,,no_kids,small,white,casual,blue,,black,long,,6,10,no,45,0,11,2,Dense fog,Morning,Saturday,no,Sepang
chinese,female,thin,54,,no_kids,big,red,,,short_sleeve,brown,short,clothes,6,9,no,11,5,7,2,Dense fog,Morning,Saturday,no,Putrajaya
malay,male,thin,50,yes,toddler,,black,casual,black,,blue,long,clothes,4,10,no,21,5,13,1,Dense fog,Morning,Saturday,no,Sepang
,female,fat,44,no,no_kids,big,blue,casual,,long sleeve,black,long,clothes,5,8,no,39,5,19,,Dense fog,Morning,Saturday,no,Putrajaya
malay,,fat,,no,no_kids,big,blue,casual,blue,,black,long,clothes,4,9,no,,0,12,1,Dense fog,Morning,Saturday,no,Sepang
malay,female,moderate,45,yes,young,,red,casual,black,short_sleeve,red,long,,4,7,,,0,19,,Dense fog,Morning,Saturday,no,Putrajaya
malay,male,fat,41,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,,59,1,15,1,Dense fog,Morning,Saturday,no,Sepang
indian,female,,37,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,,6,7,no,,5,18,3,Dense fog,Morning,Saturday,no,Sepang
indian,,,35,no,no_kids,big,black,casual,blue,,black,long,,3,7,no,,4,7,2,Dense fog,Noon,Saturday,no,Putrajaya
chinese,male,thin,53,,baby,big,blue,,black,short_sleeve,grey,long,blankets,6,7,yes,17,3,10,2,Dense fog,Noon,Saturday,no,Sepang
chinese,male,moderate,53,,,small,white,casual,red,short_sleeve,brown,short,,6,10,no,29,0,10,1,Dense fog,Noon,Saturday,no,Sepang
chinese,male,,51,,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,38,4,14,2,Dense fog,Noon,Saturday,no,Putrajaya
malay,female,,32,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,48,1,13,1,Dense fog,Noon,Saturday,no,Majlis Perbandaran Kajang
malay,female,thin,52,,no_kids,big,,casual,red,short_sleeve,black,long,clothes,5,9,no,58,1,12,3,Dense fog,Noon,Saturday,no,Sepang
malay,,thin,50,no,no_kids,big,,casual,green,long sleeve,white,long,,4,8,no,11,3,13,2,Dense fog,Noon,Saturday,no,Putrajaya
malay,male,moderate,31,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,56,1,17,1,Dense fog,Noon,Saturday,no,Sepang
indian,female,,54,no,no_kids,small,,casual,,short_sleeve,black,long,clothes,5,10,no,11,5,17,3,Dense fog,Noon,Saturday,no,Putrajaya
foreigner,male,thin,47,no,,big,blue,casual,blue,short_sleeve,black,,clothes,6,7,,22,0,14,2,Dense fog,Noon,Saturday,no,Putrajaya
chinese,,,39,no,no_kids,big,black,casual,red,,black,short,,3,9,yes,37,3,18,1,Dense fog,Noon,Saturday,no,Putrajaya
indian,female,thin,50,no,no_kids,,black,casual,,short_sleeve,black,long,clothes,4,8,no,19,3,17,3,Dense fog,Noon,Saturday,no,Putrajaya
indian,male,,34,,no_kids,big,,formal,orange,long sleeve,black,long,blankets,4,7,yes,56,,10,1,Dense fog,Noon,Saturday,no,Putrajaya
,female,thin,47,no,no_kids,big,,casual,blue,,brown,long,blankets,6,8,no,42,0,7,3,Dense fog,Noon,Saturday,no,Sepang
malay,,fat,40,no,no_kids,big,blue,,black,,blue_jeans,long,clothes,5,10,no,20,,13,2,Dense fog,Noon,Saturday,no,Sepang
